,Unnamed: 0,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
334,17,24,58,.293,30.0,93.9,99.3,-5.23,2009,Memphis Grizzlies
335,0,50,32,.610,—,99.2,95.6,3.37,2010,Boston Celtics
336,1,40,42,.488,10.0,104.1,105.9,-1.83,2010,Toronto Raptors
337,2,29,53,.354,21.0,102.1,105.9,-4.01,2010,New York Knicks
338,3,27,55,.329,23.0,97.7,101.6,-3.93,2010,Philadelphia 76ers
339,4,12,70,.146,38.0,92.4,101.5,-8.93,2010,New Jersey Nets
341,6,61,21,.744,—,102.1,95.6,6.17,2010,Cleveland Cavaliers
342,7,46,36,.561,15.0,97.7,96.0,1.37,2010,Milwaukee Bucks
343,8,41,41,.500,20.0,97.5,99.1,-1.64,2010,Chicago Bulls
344,9,32,50,.390,29.0,100.8,103.8,-3.11,2010,Indiana Pacers
345,10,27,55,.329,34.0,94.0,99.1,-5.02,2010,Detroit Pistons
347,12,59,23,.720,—,102.8,95.3,7.12,2010,Orlando Magic
348,13,53,29,.646,6.0,101.7,97.0,4.44,2010,Atlanta Hawks
349,14,47,35,.573,12.0,96.5,94.2,1.99,2010,Miami Heat
350,15,44,38,.537,15.0,95.3,93.8,1.30,2010,Charlotte Bobcats
351,16,26,56,.317,33.0,96.2,101.0,-4.72,2010,Washington Wizards
353,1,53,29,.646,—,106.5,102.4,4.15,2010,Denver Nuggets
354,2,53,29,.646,—,104.2,98.9,5.33,2010,Utah Jazz
355,3,50,32,.610,3.0,98.1,94.8,3.18,2010,Portland Trail Blazers
356,4,50,32,.610,3.0,101.5,98.0,3.55,2010,Oklahoma City Thunder
357,5,15,67,.183,38.0,98.2,107.8,-9.06,2010,Minnesota Timberwolves
359,7,57,25,.695,—,101.7,97.0,4.78,2010,Los Angeles Lakers
360,8,54,28,.659,3.0,110.2,105.3,4.67,2010,Phoenix Suns
361,9,29,53,.354,28.0,95.7,102.1,-6.01,2010,Los Angeles Clippers
362,10,26,56,.317,31.0,108.8,112.4,-3.28,2010,Golden State Warriors
